# period  BIC_array
5.000000000000000000e-01 -9.180010318139238734e+00
5.000846130135931933e-01 -9.306903259953060115e+00
5.001692546694816999e-01 -9.383408278572801464e+00
5.002539249822115508e-01 -9.118083690417506659e+00
5.003386239663385471e-01 -8.664106485855882056e+00
5.004233516364282597e-01 -8.632634973747144613e+00
5.005081080070564736e-01 -9.016799827431555059e+00
5.005928930928084108e-01 -9.159116915334266196e+00
5.006777069082796183e-01 -8.990822302400601984e+00
5.007625494680751910e-01 -8.926296283797569231e+00
5.008474207868102157e-01 -8.937869162854781280e+00
5.009323208791098825e-01 -8.541090875782856529e+00
5.010172497596089292e-01 -7.870647690315990985e+00
5.011022074429524187e-01 -7.744844126453358513e+00
5.011871939437951839e-01 -8.199234553377323209e+00
5.012722092768017168e-01 -8.431745209852124390e+00
5.013572534566469452e-01 -8.284489267571302662e+00
5.014423264980155670e-01 -8.218109224734234886e+00
5.015274284156020501e-01 -8.113378168079862007e+00
5.016125592241111875e-01 -7.646921544584756703e+00
5.016977189382574309e-01 -7.185131778179197681e+00
5.017829075727654464e-01 -7.250366608399076540e+00
5.018681251423697809e-01 -7.646762917593491693e+00
5.019533716618150843e-01 -8.010055796299411668e+00
5.020386471458561095e-01 -8.189419958153507650e+00
5.021239516092572686e-01 -8.302358095149884321e+00
5.022092850667934094e-01 -8.132729851962608336e+00
5.022946475332491501e-01 -7.812702270425575080e+00
5.023800390234194335e-01 -7.795691864410855487e+00
5.024654595521090839e-01 -8.172607018018538838e+00
5.025509091341329171e-01 -8.564168336919578906e+00
5.026363877843159633e-01 -8.896949147180748696e+00
5.027218955174934667e-01 -9.254807264932196631e+00
5.028074323485104413e-01 -9.445707085232925238e+00
5.028929982922223374e-01 -9.365363287673062587e+00
5.029785933634943751e-01 -9.272237644645770160e+00
5.030642175772020996e-01 -9.356335126356725596e+00
5.031498709482313814e-01 -9.561378107400287263e+00
5.032355534914778605e-01 -9.736747383858300964e+00
5.033212652218475025e-01 -9.850671681442008776e+00
5.034070061542564867e-01 -9.911596254626715563e+00
5.034927763036309845e-01 -9.922565309265223732e+00
5.035785756849074923e-01 -9.922476448553993578e+00
5.036644043130326098e-01 -9.924227039523884741e+00
5.037502622029632615e-01 -9.890329169675851517e+00
5.038361493696663640e-01 -9.756695556113754719e+00
5.039220658281191589e-01 -9.591833004460113443e+00
5.040080115933089910e-01 -9.547510275058357365e+00
5.040939866802337521e-01 -9.614022184311920682e+00
5.041799911039012150e-01 -9.683538052945095842e+00
