name,period,semiaxis,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,mass_sigma,teq,st_teff
55 Cnc e,0.7365474,0.01544,1.875,0.029,-0.029,7.99,0.32,-0.33,24.96875,,5172
BD+20 594 b,41.6855,,2.578,0.112,-0.112,22.2481,9.5349,-9.5349,2.333333333,,5766
CFHTWIR-Oph 98 b,8040000,200,20.849,0.56,-0.56,2479.06157,222.47988,-254.26273,11.14285737,1800,2320
COCONUTS-2 b,402000000,7506,12.442,0.336,-0.336,2002.31896,476.74261,-603.87397,4.199999996,434,3406
CoRoT-1 b,1.5089557,,16.7,0.9,-0.9,327.35,38.14,-38.14,8.582852648,1898,5950
CoRoT-10 b,13.2406,0.1055,10.87,0.78,-0.78,874,50.85,-50.85,17.18780728,600,5075
CoRoT-11 b,2.99433,0.0436,16.03,0.34,-0.34,740.51,108.06,-108.06,6.852766981,1657,6440
CoRoT-12 b,2.828042,0.04016,16.14,1.46,-1.46,291.438,22.247,-20.658,13.10010338,1442,5675
CoRoT-13 b,4.03519,0.051,9.92,0.157,-0.157,415.704,20.976,-20.976,19.8180778,1700,5945
CoRoT-14 b,1.51214,0.027,12.22,0.78,-0.78,2415.4,190.7,-190.7,12.66596749,1952,6035
CoRoT-16 b,5.35227,0.0618,13.11,1.79,-1.57,170.032,27.014,-26.379,6.294217813,,5650
CoRoT-17 b,3.7681,0.0461,11.43,0.78,-0.78,772.29,95.34,-95.34,8.100377596,1626,5740
CoRoT-18 b,1.9000693,0.0295,14.68,2.02,-2.02,1102.82,120.77,-120.77,9.13157241,1550,5440
CoRoT-19 b,3.89713,0.0518,14.46,0.34,-0.34,352.78,19.07,-19.07,18.49921342,2000,6090
CoRoT-2 b,1.7429935,0.02798,16.432,0.471,-0.493,1102.82,69.92,-69.92,15.77259725,,5625
CoRoT-21 b,2.72474,0.0417,14.572,1.569,-1.569,718.2958,98.5273,-98.5273,7.290322581,,6200
CoRoT-22 b,9.75598,0.092,4.88,0.17,-0.39,12.2,14,-8.8,0.871428571,885,5939
CoRoT-23 b,3.6313,0.048,11.77,1.46,-1.46,889.9,95.3,-95.3,9.337880378,1660,5900
CoRoT-24 c,11.759,0.098,5,0.5,-0.5,28,11,-11,2.545454545,850,4950
CoRoT-25 b,4.86069,0.0578,12.11,3.4,-1.12,85.81,12.71,-12.71,6.751376869,1330,6040
CoRoT-26 b,4.20474,0.0526,14.12,1.46,-0.78,165.26,15.89,-15.89,10.40025173,1600,5590
CoRoT-27 b,3.57532,0.0476,11.287,0.493,-0.493,3302.11,174.8,-174.8,18.89078947,1500,5900
CoRoT-28 b,5.20851,0.0603,10.705,0.74,-0.74,153.82972,27.65121,-27.65121,5.563218391,,5150
CoRoT-29 b,2.85057,0.0386,10.088,1.793,-1.793,270.1555,63.566,-63.566,4.25,,5260
CoRoT-3 b,4.2568,,11.32,0.78,-0.78,6883.91,317.8,-317.8,21.66113908,,6740
CoRoT-30 b,9.06005,0.0844,11.31,0.852,-0.852,921.707,69.9226,-69.9226,13.18181818,,5650
CoRoT-31 b,4.62941,0.0586,16.365,3.363,-3.363,266.9772,108.0622,-108.0622,2.470588235,,5700
CoRoT-35 b,3.22748,0.0429,18.831,1.233,-1.233,349.61125,117.59651,-117.59651,2.972973007,1747,6390
CoRoT-4 b,9.20205,0.09,13.34,0.67,-0.56,228.83,25.43,-25.43,8.998427055,1074,6190
CoRoT-5 b,4.0378962,0.04947,15.558,0.516,-0.527,148.42,14.937,-7.628,9.936399545,1438,6100
CoRoT-6 b,8.886593,0.0855,13.068,0.392,-0.392,940.74,108.06,-108.06,8.705719045,1017,6090
CoRoT-7 b,0.85359163,,1.681,0.112,-0.112,4.07661,1.01982,-1.01982,3.997381891,,5275
CoRoT-8 b,6.21229,0.063,6.39,0.22,-0.22,69.92,9.53,-9.53,7.33683106,,5080
CoRoT-9 b,95.272656,0.4021,11.949,0.841,-0.706,266.9772,15.8915,-15.8915,16.8,420,5625
CoRoTID 223977153 b,6.71837,0.071,6.389,0.673,-0.56,47.6745,31.783,-31.783,1.5,938,5970
EPIC 220674823 b,0.571292,0.01326,1.725,0.039,-0.039,8.21,0.76,-0.74,10.80263158,2300,5532
EPIC 220674823 c,13.3397,0.1083,2.836,0.086,-0.073,8.9,2.4,-2.4,3.708333333,805,5532
EPIC 229004835 b,16.141132,0.1237,2.332,0.08,-0.094,10.4,1.6,-1.5,6.5,804,5868
EPIC 246851721 b,6.180235,0.07229,11.781,0.493,-0.493,953.49,349.613,-381.396,2.727272727,1401,6202
EPIC 249893012 b,3.5951,0.047,1.95,0.09,-0.08,8.75,1.09,-1.08,8.027522936,1616,5430
