# P_pert, Mp_pert
9.540617214549646619e+00 9.999999999999998890e-01
9.599666165987658317e+00 1.125335582600764939e+00
9.660625275909893617e+00 1.258615325447186795e+00
9.664472318790622296e+00 1.266380173467403170e+00
9.744577109061548725e+00 1.425102670302998087e+00
9.831329521211369382e+00 1.603718743751330278e+00
9.924980461808743826e+00 1.804721766827170004e+00
1.002574256352616366e+01 2.030917620904735710e+00
1.013378438677981741e+01 2.285463864134990253e+00
1.016615326553158916e+01 2.362512217414146853e+00
1.026045689900547586e+01 2.571913809059345191e+00
1.040001793435897248e+01 2.894266124716750266e+00
1.054811382216522553e+01 3.257020655659783159e+00
1.069813487911571670e+01 3.647182875663299573e+00
1.070552103608957140e+01 3.665241237079627901e+00
1.089120468441126732e+01 4.124626382901352528e+00
1.108617856233979637e+01 4.641588833612778409e+00
1.125795440049050633e+01 5.126957866523605745e+00
1.129397457771794322e+01 5.223345074266841692e+00
1.153171946748154930e+01 5.878016072274911963e+00
1.177887130634577240e+01 6.614740641230149265e+00
1.184706855126131053e+01 6.826327270931298763e+00
1.205576496715000268e+01 7.443803013251688583e+00
1.234966342420469587e+01 8.376776400682917512e+00
1.246701028138554967e+01 8.769436351688485232e+00
1.267188099607633234e+01 9.426684551178853511e+00
1.301561934818044008e+01 1.060818355139448244e+01
1.311939275810346217e+01 1.098403480498520857e+01
1.339270203002131332e+01 1.193776641714436337e+01
1.378889697821592186e+01 1.343399332598900031e+01
1.380591356360450739e+01 1.350101788694943927e+01
1.423000509234677580e+01 1.511775070615662209e+01
1.452835911235213118e+01 1.634694724654868736e+01
1.469478169074980656e+01 1.701254279852589235e+01
1.519488296491518931e+01 1.914481976169957633e+01
1.528860929956142556e+01 1.956729512916467684e+01
1.573866425064814578e+01 2.154434690031883193e+01
1.608864239292564591e+01 2.319714782807181308e+01
1.631568072588604679e+01 2.424462017082328202e+01
1.692947199313476858e+01 2.728333376486768103e+01
1.693054018032036367e+01 2.728888741335114787e+01
1.760039285386639918e+01 3.070290629757849743e+01
1.781649338688032458e+01 3.188236873914937064e+01
1.831428773356329032e+01 3.455107294592217926e+01
1.874880737554494914e+01 3.704248038325944492e+01
1.907475710689503856e+01 3.888155180308089598e+01
1.972990814590588826e+01 4.283053641920442800e+01
1.988547354601312378e+01 4.375479375074184674e+01
2.075103130332878365e+01 4.923882631706739232e+01
2.076234864696662541e+01 4.931450873905785670e+01
2.168458628490727591e+01 5.541020330009492056e+01
2.184881542024048073e+01 5.656670560357412825e+01
2.267927964640847449e+01 6.235507341273912374e+01
2.299213559047338151e+01 6.467639415960132965e+01
2.373926640676894806e+01 7.017038286703825634e+01
2.419528422218207098e+01 7.373734641005471246e+01
2.486886507637100507e+01 7.896522868499724268e+01
2.546139206115041986e+01 8.385362098282357124e+01
2.607257701988262255e+01 8.886238162743399016e+01
2.679375368102813582e+01 9.514064300662714402e+01
2.735510588453448122e+01 1.000000000000000000e+02
