#date rv rv_err inst
9069.6744 0.0020115 0.00243 CARMENES
9073.6703 0.0020421 0.00491 CARMENES
9095.6713 0.0086685 0.00214 CARMENES
9097.6749 0.0049602 0.00281 CARMENES
9098.6754 0.0121226 0.00178 CARMENES
9099.6693 0.0022223 0.00213 CARMENES
9101.6859 0.0050989 0.00263 CARMENES
9102.6845 -0.0100315 0.00371 CARMENES
9103.6777 0.0043804 0.00184 CARMENES
9114.7106 0.0092846 0.00326 CARMENES
9118.6966 0.0028883 0.00246 CARMENES
9120.6746 -0.0048877 0.00195 CARMENES
9121.6352 0.0001223 0.0019 CARMENES
9122.6841 -0.0046396 0.00182 CARMENES
9127.6877 0.0020991 0.00261 CARMENES
9128.6223 -0.0031676 0.00183 CARMENES
9131.6723 0.0015091 0.00181 CARMENES
9132.6702 0.0139341 0.0028 CARMENES
9138.6485 -0.0011529 0.00333 CARMENES
9139.4464 -0.0046423 0.00291 CARMENES
9139.5469 -0.0046423 0.00166 CARMENES
9139.6241 -0.0045632 0.00293 CARMENES
9139.7292 -0.0008904 0.00191 CARMENES
9140.5196 0.0013376 0.00154 CARMENES
9140.5965 0.0006121 0.00165 CARMENES
9140.6963 -0.0037923 0.00172 CARMENES
9141.5171 -0.0113996 0.0028 CARMENES
9141.5792 -0.0113996 0.00278 CARMENES
9141.6397 -0.01061 0.003 CARMENES
9141.7027 -0.0060255 0.00259 CARMENES
9142.5187 0.0089912 0.00274 CARMENES
9146.5184 -0.0027031 0.00291 CARMENES
9146.6025 -0.000973 0.00198 CARMENES
9147.408 0.0035937 0.00212 CARMENES
9147.5126 0.0009231 0.00286 CARMENES
9149.4108 -0.0030401 0.00295 CARMENES
9149.5024 -0.0052218 0.00248 CARMENES
9149.5915 -0.0052218 0.00276 CARMENES
9149.6962 -0.0042938 0.00395 CARMENES
9150.3895 0.0058167 0.0023 CARMENES
9151.6239 0.0006513 0.00178 CARMENES
9151.7309 0.0006516 0.00197 CARMENES
9152.4645 0.0121942 0.00174 CARMENES
9153.382 0.0158617 0.0024 CARMENES
9153.4717 0.010668 0.00205 CARMENES
