#time rv erv jitter rvnoplanet tlab
9069.67440000 3.42179712 2.43000000 2.44029351 0.30573160 0
9073.67030000 3.24129712 4.91000000 4.91510249 0.63417652 0
9095.67130000 4.96989712 2.14000000 2.15168131 -0.71668049 0
9097.67490000 13.60749712 2.81000000 2.81890625 -0.22900387 0
9098.67540000 10.11959712 1.78000000 1.79402688 1.38364868 0
9099.66930000 7.55069712 2.13000000 2.14173585 -1.06367774 0
9101.68590000 -2.04410288 2.63000000 2.63951367 -1.05304074 0
9102.68450000 -9.64140288 3.71000000 3.71675025 -2.08804530 0
9103.67770000 -4.17010288 1.84000000 1.85357288 -0.04780199 0
9114.71060000 9.29569712 3.26000000 3.26767998 1.51966321 0
9118.69660000 0.96829712 2.46000000 2.47016850 -1.71680203 0
9120.67460000 -4.18500288 1.95000000 1.96281238 0.90895488 0
9121.63520000 -7.48390288 1.90000000 1.91314726 0.44744473 0
9122.68410000 -4.32790288 1.82000000 1.83372093 -0.30789824 0
9127.68770000 -1.48610288 2.61000000 2.61958631 0.23725415 0
9128.62230000 -2.51970288 1.83000000 1.84364651 -0.78494692 0
9131.67230000 0.51669712 1.81000000 1.82379616 0.67646933 0
9132.67020000 11.79739712 2.80000000 2.80893796 1.51917866 0
9138.64850000 -1.12440288 3.33000000 3.33751890 1.70390066 0
9139.44640000 -9.29810288 2.91000000 2.91860111 -1.57915218 0
9139.54690000 -9.29810288 1.66000000 1.67503207 0.78395798 0
9139.62410000 -10.46060288 2.93000000 2.93854257 -0.33169140 0
9139.72920000 -7.84460288 1.91000000 1.92307890 -0.15456458 0
9140.51960000 -2.80590288 1.54000000 1.55619165 -0.12834534 0
9140.59650000 -1.77610288 1.65000000 1.66512235 -0.09919473 0
9140.69630000 -4.31000288 1.72000000 1.73451216 -1.46646365 0
9141.51710000 -4.28040288 2.80000000 2.80893796 -0.56574344 0
9141.57920000 -4.28040288 2.78000000 2.78900205 -0.01961120 0
9141.63970000 -3.90320288 3.00000000 3.00834380 -0.18338013 0
9141.70270000 -0.08600288 2.59000000 2.59966006 2.03194612 0
9142.51870000 7.56319712 2.74000000 2.74913303 1.76172637 0
9146.51840000 -0.92350288 2.91000000 2.91860111 0.09274279 0
9146.60250000 0.62039712 1.98000000 1.99261949 0.66240682 0
9147.40800000 -3.76390288 2.12000000 2.13179090 0.31370492 0
9147.51260000 -7.72700288 2.86000000 2.86875102 -0.32649364 0
9149.41080000 -0.23490288 2.95000000 2.95848482 -0.99730114 0
9149.50240000 -3.17840288 2.48000000 2.49008683 -1.62785869 0
9149.59150000 -3.17840288 2.76000000 2.76906707 -0.30511473 0
9149.69620000 -3.25060288 3.95000000 3.95634079 -1.58970099 0
9150.38950000 1.65679712 2.30000000 2.31087266 -1.84624720 0
9151.62390000 9.67989712 1.78000000 1.79402688 0.55301244 0
9151.73090000 10.19019712 1.97000000 1.98268314 -0.63940988 0
9152.46450000 14.94959712 1.74000000 1.75434673 1.20025604 0
9153.38200000 14.48209712 2.40000000 2.41042163 0.41545030 0
9153.47170000 10.26249712 2.05000000 2.06219117 -0.84725941 0
9154.49920000 5.97999712 1.76000000 1.77418501 0.37879170 0
9154.62010000 7.68179712 1.73000000 1.74442897 0.28585101 0
9156.45180000 -7.30310288 1.60000000 1.61559043 -0.15261133 0
9156.58530000 -3.89390288 1.61000000 1.62549452 -0.09444994 0
9161.35990000 9.50759712 3.26000000 3.26767998 0.75083904 0
9161.45050000 9.50759712 3.97000000 3.97630890 2.33585358 0
9161.57320000 3.26609712 1.63000000 1.64530618 -0.34256789 0
9161.67240000 3.26609712 2.18000000 2.19146810 0.88780711 0
9163.37740000 5.31229712 2.99000000 2.99837163 -0.59105037 0
9163.49920000 1.13759712 3.03000000 3.03826142 -1.43298737 0
9173.89166300 -4.15185912 1.94800000 1.97356760 1.13979938 1
9173.98061900 -4.15185912 1.49500000 1.52816559 -0.85626399 1
9180.87360100 4.02044088 1.27900000 1.31761378 -1.34921385 1
9180.95909500 4.02044088 1.26100000 1.30014848 1.46602463 1
9181.03144600 0.80364088 1.49000000 1.52327445 -0.06386351 1
9181.84025000 -0.79905912 1.80300000 1.83059391 -0.69113962 1
9181.93144000 2.52354088 1.34200000 1.37885063 0.12646849 1
9182.01258800 4.77074088 2.00700000 2.03182530 0.46043428 1
9182.81351100 1.37324088 2.14800000 2.17121373 -0.94424038 1
9182.89215700 1.37324088 1.51500000 1.54773708 1.26967496 1
9182.97942800 -2.59465912 1.43300000 1.46756740 0.13086377 1
9183.07998700 -5.03805912 2.03400000 2.05849971 -0.67513943 1
9183.76783100 -5.48005912 2.26200000 2.28405540 -0.58673853 1
9183.99423600 0.22114088 1.52100000 1.55361065 -0.55060912 1
9184.07505300 2.21964088 1.94500000 1.97060652 0.22160392 1
9185.03483500 -2.14335912 1.11500000 1.15909019 0.31511930 1
9173.89166300 -4.16529657 1.19300000 1.23826928 1.12636193 2
9173.98061900 -4.16529657 0.95900000 1.01476244 -0.86970144 2
9180.87360100 4.00700343 0.82300000 0.88735044 -1.36265129 2
9180.95909500 4.00700343 0.82300000 0.88735044 1.45258718 2
9181.03144600 0.79020343 0.90400000 0.96295265 -0.07730096 2
9181.84025000 -0.81249657 1.08900000 1.13841240 -0.70457707 2
9181.93144000 2.51010343 0.85200000 0.91431165 0.11303105 2
9182.01258800 4.75730343 1.21300000 1.25754952 0.44699683 2
9182.81351100 1.35980343 1.25900000 1.30197650 -0.95767782 2
9182.89215700 1.35980343 0.93500000 0.99211229 1.25623751 2
9182.97942800 -2.60809657 0.88200000 0.94232999 0.11742633 2
9183.07998700 -5.05149657 1.08800000 1.13745585 -0.68857688 2
9183.76783100 -5.49349657 1.10000000 1.14893942 -0.60017597 2
9183.83016000 -3.65349657 1.62600000 1.65949926 0.38214443 2
9183.99423600 0.20770343 0.90100000 0.96013687 -0.56404657 2
9184.07505300 2.20620343 1.04700000 1.09830360 0.20816647 2
9185.03483500 -2.15679657 0.64700000 0.72709752 0.30168186 2
9515.03853500 -7.31280262 1.18000000 1.22247509 0.00115770 3
9520.12791300 -0.94580262 1.37100000 1.40772381 0.12659897 3
9525.86479500 8.21619738 1.76500000 1.79367509 0.08409470 3
9529.92015500 0.78819738 1.38200000 1.41843905 -0.01509666 3
9537.98931800 -2.63140262 1.02500000 1.07362486 -0.36291429 3
9538.85193900 1.28639738 1.28200000 1.32119996 0.50304244 3
9539.81052300 0.40809738 1.28800000 1.32702273 -1.16911602 3
9539.85581000 3.47029738 1.07900000 1.12529389 0.53436934 3
9539.99340700 7.61879738 1.53900000 1.57180353 0.09718374 3
9540.05145100 9.07799738 1.40800000 1.44378299 0.56081702 3
9515.03853500 -7.32506261 0.76300000 0.85271799 -0.01110229 4
9520.12791300 -0.95806261 0.79000000 0.87696007 0.11433898 4
9525.86479500 8.20393739 0.97300000 1.04483873 0.07183471 4
9529.92015500 0.77593739 0.84000000 0.92225754 -0.02735666 4
9537.98931800 -2.64366261 0.64800000 0.75157366 -0.37517428 4
9538.85193900 1.27413739 0.72600000 0.81977739 0.49078245 4
9539.81052300 0.39583739 0.63700000 0.74211049 -1.18137602 4
9539.85581000 3.45803739 0.61700000 0.72501584 0.52210934 4
9539.99340700 7.60653739 0.91000000 0.98643752 0.08492374 4
9540.05145100 9.06573739 0.78700000 0.87425853 0.54855702 4
9119.98960300 -1.55150678 3.27190000 3.29491588 0.94234385 5
9120.00035400 -1.55150678 3.66450000 3.68506463 1.32187388 5
9123.01541500 -3.35110678 3.10730000 3.13152588 0.13330771 5
