#time rv erv jitter rvnoplanet tlab
9069.67440000 -0.42328686 2.43000000 3.86931350 -1.45606236 0
9073.67030000 9.49671314 4.91000000 5.75975581 3.98654659 0
9095.67130000 -1.29328686 2.14000000 3.69408811 -5.64205899 0
9097.67490000 15.64671314 2.81000000 4.11859041 4.44406568 0
9098.67540000 7.41671314 1.78000000 3.49786892 2.07069136 0
9099.66930000 -0.48328686 2.13000000 3.68830408 -7.20057891 0
9101.68590000 1.10671314 2.63000000 3.99794785 -1.14113483 0
9102.68450000 -13.69328686 3.71000000 4.77815728 -9.42241958 0
9103.67770000 2.88671314 1.84000000 3.52877982 4.87658702 0
9114.71060000 11.53671314 3.26000000 4.43782458 5.88264445 0
9118.69660000 1.90671314 2.46000000 3.88822414 -2.26065891 0
9120.67460000 -5.89328686 1.95000000 3.58736491 -5.68294659 0
9121.63520000 -9.01328686 1.90000000 3.56043354 -4.03874348 0
9122.68410000 0.46671314 1.82000000 3.51839267 4.30555535 0
9127.68770000 -0.01328686 2.61000000 3.98481957 -1.34495563 0
9128.62230000 4.31671314 1.83000000 3.52357588 1.41960226 0
9131.67230000 3.30671314 1.81000000 3.51323028 3.75242914 0
9132.67020000 12.26671314 2.80000000 4.11177419 3.63473307 0
9138.64850000 7.34671314 3.33000000 4.48949741 4.36379746 0
9139.44640000 -3.76328686 2.91000000 4.18745591 -0.20064419 0
9139.54690000 -6.46328686 1.66000000 3.43835527 -0.03962907 0
9139.62410000 -3.32328686 2.93000000 4.20137918 3.36406159 0
9139.72920000 -4.31328686 1.91000000 3.56578000 -0.00429389 0
9140.51960000 -3.19328686 1.54000000 3.38205366 -1.69981563 0
9140.59650000 -2.17328686 1.65000000 3.43353855 -1.50432913 0
9140.69630000 -2.05328686 1.72000000 3.46772072 0.25686439 0
9141.51710000 -10.54328686 2.80000000 4.11177419 -4.69291216 0
9141.57920000 -8.10328686 2.78000000 4.09818094 -1.49530476 0
9141.63970000 -6.06328686 3.00000000 4.25049256 0.09485207 0
9141.70270000 -7.00328686 2.59000000 3.97174861 -2.46357613 0
9142.51870000 8.73671314 2.74000000 4.07115303 5.74838843 0
9146.51840000 1.32671314 2.91000000 4.18745591 -2.03645329 0
9146.60250000 8.62671314 1.98000000 3.60376012 4.03616508 0
9147.40800000 -1.91328686 2.12000000 3.68253812 -2.82976828 0
9147.51260000 -3.57328686 2.86000000 4.15286491 -0.82227418 0
9149.41080000 -2.15328686 2.95000000 4.21535135 -4.17659826 0
9149.50240000 -3.86328686 2.48000000 3.90090848 -3.02038942 0
9149.59150000 -4.82328686 2.76000000 4.08464037 -2.21391347 0
9149.69620000 -2.08328686 3.95000000 4.96680853 -0.44552637 0
9150.38950000 -3.61328686 2.30000000 3.78902190 -5.39316692 0
9151.62390000 1.95671314 1.78000000 3.49786892 -3.51423151 0
9151.73090000 12.20671314 1.97000000 3.59827556 4.95271704 0
9152.46450000 9.17671314 1.74000000 3.47768414 -1.23062633 0
