date keplerian stellar stellar+keplerian GP_variance
9022.67440000 0.64729537 -0.73741355 -0.09011818 6.11299577
9022.78727541 3.54626799 -0.72337029 2.82289770 6.11062973
9022.90015082 2.82069890 -0.70142841 2.11927049 6.10807403
9023.01302623 -0.78782796 -0.67229793 -1.46012589 6.10540774
9023.12590164 -3.59113781 -0.63682451 -4.22796232 6.10269372
9023.23877705 -2.72404575 -0.59597908 -3.32002482 6.09997786
9023.35165246 0.92721758 -0.55084501 0.37637257 6.09728926
9023.46452787 3.63079765 -0.50260293 3.12819472 6.09464117
9023.57740328 2.62344059 -0.45251334 2.17092725 6.09203270
9023.69027869 -1.06526201 -0.40189730 -1.46715931 6.08945111
9023.80315410 -3.66518999 -0.35211557 -4.01730555 6.08687456
9023.91602951 -2.51902939 -0.30454643 -2.82357582 6.08427517
9024.02890492 1.20176097 -0.26056272 0.94119825 6.08162216
9024.14178033 3.69426492 -0.22150838 3.47275654 6.07888502
9024.25465574 2.41096362 -0.18867509 2.22228853 6.07603642
9024.36753115 -1.33651643 -0.16327942 -1.49979585 6.07305480
9024.48040656 -3.71798027 -0.14644095 -3.86442123 6.06992650
9024.59328197 -2.29940005 -0.13916188 -2.43856193 6.06664741
9024.70615738 1.46933290 -0.14230848 1.32702442 6.06322395
9024.81903279 3.73630163 -0.15659496 3.57970667 6.05967353
9024.93190820 2.18450055 -0.18256995 2.00193060 6.05602436
9025.04478361 -1.60001768 -0.22060603 -1.82062371 6.05231472
9025.15765902 -3.74920242 -0.27089254 -4.02009496 6.04859169
9025.27053443 -2.06643181 -0.33343180 -2.39986361 6.04490950
9025.38340984 1.72838118 -0.40803894 1.32034223 6.04132748
9025.49628525 3.75666392 -0.49434529 3.26231863 6.03790779
9025.60916067 1.94536513 -0.59180527 1.35355985 6.03471302
9025.72203608 -1.85423717 -0.69970674 -2.55394391 6.03180368
9025.83491149 -3.75867531 -0.81718443 -4.57585974 6.02923577
9025.94778690 -1.82147613 -0.94323631 -2.76471244 6.02705849
9026.06066231 1.97740306 -1.07674240 0.90066065 6.02531221
9026.17353772 3.75523367 -1.21648572 2.53874795 6.02402657
9026.28641313 1.69494457 -1.36117473 0.33376983 6.02321917
9026.39928854 -2.09770016 -1.50946695 -3.60716711 6.02289442
9026.51216395 -3.74634399 -1.65999307 -5.40633706 6.02304295
9026.62503936 -1.56595400 -1.81138101 -3.37733501 6.02364147
9026.73791477 2.21495395 -1.96227956 0.25267439 6.02465298
9026.85079018 3.73201917 -2.11138076 1.62063841 6.02602748
9026.96366559 1.43469157 -2.25744091 -0.82274934 6.02770312
9027.07654100 -2.32899431 -2.39929943 -4.72829375 6.02960762
9027.18941641 -3.71228000 -2.53589548 -6.24817547 6.03166004
9027.30229182 -1.30134771 -2.66628177 -3.96762948 6.03377281
9027.41516723 2.43965581 -2.78963561 -0.34997980 6.03585388
9027.52804264 3.68715510 -2.90526680 0.78188830 6.03780894
9027.64091805 1.16611588 -3.01262248 -1.84650660 6.03954361
9027.75379346 -2.54677789 -3.11128887 -5.65806676 6.04096552
9027.86666887 -3.65668093 -3.20099005 -6.85767099 6.04198618
9027.97954428 -1.02919226 -3.28158402 -4.31077628 6.04252256
9028.09241969 2.65020515 -3.35305609 -0.70285094 6.04249832
9028.20529510 3.62090171 -3.41551020 0.20539151 6.04184458
9028.31817051 0.89077551 -3.46915829 -2.57838278 6.04050030
9028.43104592 -2.74978752 -3.51430820 -6.26409572 6.03841220
9028.54392133 -3.57986933 -3.55135048 -7.13121981 6.03553416
9028.65679674 -0.75106643 -3.58074451 -4.33181094 6.03182626
9028.76967215 2.84538055 -3.60300437 -0.75762382 6.02725344
9028.88254756 3.53364334 -3.61868467 -0.08504134 6.02178377
9028.99542297 0.61026772 -3.62836691 -3.01809919 6.01538663
9029.10829838 -2.93684553 -3.63264637 -6.56949191 6.00803063
9029.22117379 -3.48229078 -3.63212007 -7.11441085 5.99968157
9029.33404920 -0.46858364 -3.62737567 -4.09595931 5.99030039
9029.44692461 3.02404979 -3.61898174 -0.59493195 5.97984141
9029.55980002 3.42588617 -3.60747915 -0.18159298 5.96825072
9029.67267543 0.32621974 -3.59337392 -3.26715418 5.95546499
9029.78555084 -3.10686680 -3.57713127 -6.68399807 5.94141068
9029.89842625 -3.36451134 -3.55917088 -6.92368222 5.92600383
9030.01130166 -0.18338257 -3.53986334 -3.72324591 5.90915034
9030.12417707 3.18517642 -3.51952755 -0.33435113 5.89074695
9030.23705248 3.29825532 -3.49842906 -0.20017374 5.87068287
9030.34992789 0.04027935 -3.47677917 -3.43649982 5.84884206
9030.46280330 -3.25886502 -3.45473469 -6.71359971 5.82510634
9030.57567871 -3.22721425 -3.43239822 -6.65961247 5.79935905
9030.68855412 0.10288230 -3.40981899 -3.30693668 5.77148961
9030.80142953 3.32782572 -3.38699399 -0.05916827 5.74139858
9030.91430494 3.15149118 -3.36386957 -0.21237839 5.70900341
9031.02718035 -0.24589470 -3.34034331 -3.58623801 5.67424470
9031.14005576 -3.39195845 -3.31626628 -6.70822473 5.63709289
9031.25293118 -3.07119597 -3.29144566 -6.36264163 5.59755512
9031.36580659 0.38855035 -3.26564772 -2.87709737 5.55568225
9031.47868200 3.45117018 -3.23860129 0.21256889 5.51157563
9031.59155741 2.98644512 -3.21000158 -0.22355647 5.46539342
9031.70443282 -0.53064231 -3.17951460 -3.71015691 5.41735616
9031.81730823 -3.50537501 -3.14678198 -6.65215699 5.36775120
9031.93018364 -2.89736157 -3.11142635 -6.00878792 5.31693553
9032.04305905 0.67196441 -3.07305713 -2.40109272 5.26533676
9032.15593446 3.55449429 -3.03127679 0.52321750 5.21345156
9032.26880987 2.80407458 -2.98568751 -0.18161293 5.16184146
9032.38168528 -0.81231164 -2.93589798 -3.74820962 5.11112537
9032.49456069 -3.59845676 -2.88153057 -6.47998733 5.06196868
9032.60743610 -2.70671948 -2.82222838 -5.52894786 5.01506881
9032.72031151 0.95148038 -2.75766234 -1.80618196 4.97113724
9032.83318692 3.63719865 -2.68753805 0.94966059 4.93087842
9032.94606233 2.60543751 -2.61160232 -0.00616481 4.89496603
9033.05893774 -1.08926872 -2.52964919 -3.61891791 4.86401789
9033.17181315 -3.67066374 -2.44152542 -6.11218916 4.83857040
9033.28468856 -2.50037561 -2.34713529 -4.84751090 4.81905439
9033.39756397 1.22547677 -2.24644462 -1.02096785 4.80577378
9033.51043938 3.69880349 -2.13948400 1.55931949 4.79888883
9033.62331479 2.39168620 -2.02635108 0.36533512 4.79840524
9033.73619020 -1.35990692 -1.90721208 -3.26711899 4.80417006
9033.84906561 -3.72157706 -1.78230235 -5.50387942 4.81587489
9033.96194102 -2.27952697 -1.65192614 -3.93145311 4.83306612
9034.07481643 1.49236413 -1.51645549 -0.02409136 4.85516143
9034.18769184 3.73895143 -1.37632845 2.36262298 4.88147141
9034.30056725 2.16406064 -1.23204656 0.93201408 4.91122480
9034.41344266 -1.62265625 -1.08417173 -2.70682798 4.94359562
9034.52631807 -3.75090139 -0.93332258 -4.68422397 4.97773100
9034.63919348 -2.04545472 -0.78017027 -2.82562499 5.01277799
9034.75206889 1.75059423 -0.62543393 1.12516030 5.04790867
9034.86494430 3.75740959 -0.46987572 3.28753387 5.08234251
9034.97781971 1.92388128 -0.31429554 1.60958574 5.11536583
9035.09069512 -1.87599249 -0.15952543 -2.03551792 5.14634778
