#time rv erv jitter rvnoplanet tlab
9069.67440000 8.69713882 2.43000000 2.46094511 -0.23655677 0
9073.67030000 8.72773882 4.91000000 4.92538839 1.60960340 0
9095.67130000 15.35413882 2.14000000 2.17507490 -0.61864779 0
9097.67490000 11.64583882 2.81000000 2.83680292 -0.85161967 0
9098.67540000 18.80823882 1.78000000 1.82201833 1.59892177 0
9099.66930000 8.90793882 2.13000000 2.16523689 -1.84039055 0
9101.68590000 11.78453882 2.63000000 2.65861821 -0.53060468 0
9102.68450000 -3.34586118 3.71000000 3.73034192 -1.42399131 0
9103.67770000 11.06603882 1.84000000 1.88067828 0.90120300 0
9114.71060000 15.97023882 3.26000000 3.28313125 1.89028196 0
9118.69660000 9.57393882 2.46000000 2.49057239 -2.17297188 0
9120.67460000 1.79793882 1.95000000 1.98842923 0.77366853 0
9121.63520000 6.80793882 1.90000000 1.93942023 1.00798644 0
9122.68410000 2.04603882 1.82000000 1.86111547 -0.63850900 0
9127.68770000 8.78473882 2.61000000 2.63883512 1.04938016 0
9128.62230000 3.51803882 1.83000000 1.87089572 -0.56099740 0
9131.67230000 8.19473882 1.81000000 1.85133757 0.16929190 0
9132.67020000 20.61973882 2.80000000 2.82689774 1.95543204 0
9138.64850000 5.53273882 3.33000000 3.35264833 1.71460612 0
9139.44640000 2.04333882 2.91000000 2.93589012 -0.80787986 0
9139.54690000 2.04333882 1.66000000 1.70497824 0.48798515 0
9139.62410000 2.12243882 2.93000000 2.95571494 -0.18517271 0
9139.72920000 5.79523882 1.91000000 1.94921800 0.06563509 0
9140.51960000 8.02323882 1.54000000 1.58837993 -0.21717059 0
9140.59650000 7.29773882 1.65000000 1.69524358 -0.83603446 0
9140.69630000 2.89333882 1.72000000 1.76344856 -2.49914733 0
9141.51710000 -4.71396118 2.80000000 2.82689774 -0.93024992 0
9141.57920000 -4.71396118 2.78000000 2.80708938 -0.47958276 0
9141.63970000 -3.92436118 3.00000000 3.02511997 -0.44856059 0
9141.70270000 0.66013882 2.59000000 2.61905533 2.19044999 0
9142.51870000 15.67683882 2.74000000 2.76748095 2.50167971 0
9146.51840000 3.98253882 2.91000000 2.93589012 0.01803856 0
9146.60250000 5.71263882 1.98000000 2.01785798 0.59863103 0
9147.40800000 10.27933882 2.12000000 2.15540038 0.42871762 0
9147.51260000 7.60873882 2.86000000 2.88633865 -0.04817628 0
9149.41080000 3.64553882 2.95000000 2.97554210 -1.90194102 0
9149.50240000 1.46383882 2.48000000 2.51032883 -2.19888907 0
9149.59150000 1.46383882 2.76000000 2.78728377 -1.47845587 0
9149.69620000 2.39183882 3.95000000 3.96911209 -2.66448971 0
9150.38950000 12.50233882 2.30000000 2.33267032 -1.88594503 0
9151.62390000 7.33693882 1.78000000 1.82201833 0.78457041 0
9151.73090000 7.33723882 1.97000000 2.00804652 -0.58765795 0
9152.46450000 18.87983882 1.74000000 1.78296125 1.94043421 0
9153.38200000 22.54733882 2.40000000 2.43132697 0.60589083 0
9153.47170000 17.35363882 2.05000000 2.08658832 -0.94202205 0
9154.49920000 8.56473882 1.76000000 1.80248462 -0.07271994 0
9154.62010000 11.44423882 1.73000000 1.77320354 -0.16142825 0
9156.45180000 2.20533882 1.60000000 1.64661799 0.31634203 0
9156.58530000 4.30723882 1.61000000 1.65633656 0.43949760 0
9161.35990000 12.90613882 3.26000000 3.28313125 0.78725272 0
9161.45050000 12.90613882 3.97000000 3.98901627 3.50193574 0
9161.57320000 3.86793882 1.63000000 1.67578364 -0.46889987 0
9161.67240000 3.86793882 2.18000000 2.21444142 1.82639252 0
9163.37740000 18.21883882 2.99000000 3.01520328 0.52404175 0
9163.49920000 14.06433882 3.03000000 3.05487329 -0.49010966 0
9173.89166300 11.65119315 1.94800000 1.97493667 1.81935625 1
9173.98061900 11.65119315 1.49500000 1.52993328 0.16514130 1
9180.87360100 9.98319315 1.27900000 1.31966354 0.24110496 1
9180.95909500 9.98319315 1.26100000 1.30222573 1.79788764 1
9181.03144600 8.58239315 1.49000000 1.52504782 1.02579430 1
9181.84025000 11.33349315 1.80300000 1.83206983 0.52501297 1
9181.93144000 13.80589315 1.34200000 1.38080949 1.08093745 1
9182.01258800 14.97569315 2.00700000 2.03315515 1.00403002 1
9182.81351100 6.31989315 2.14800000 2.17245825 -0.07571646 1
9182.89215700 6.31989315 1.51500000 1.54948245 1.98776294 1
9182.97942800 2.85139315 1.43300000 1.46940799 0.96818197 1
9183.07998700 1.27519315 2.03400000 2.05981233 0.29849406 1
9183.76783100 9.33219315 2.26200000 2.28523847 0.71158238 1
9183.99423600 16.64799315 1.52100000 1.55534943 0.73485912 1
9184.07505300 18.84529315 1.94500000 1.97197765 1.52326694 1
9185.03483500 4.27169315 1.11500000 1.16141976 1.22224793 1
9173.89166300 10.27390370 1.19300000 1.20817420 0.44206679 2
9173.98061900 10.27390370 0.95900000 0.97781230 -1.21214816 2
9180.87360100 8.60590370 0.82300000 0.84484608 -1.13618449 2
9180.95909500 8.60590370 0.82300000 0.84484608 0.42059819 2
9181.03144600 7.20510370 0.90400000 0.92393284 -0.35149516 2
9181.84025000 9.95620370 1.08900000 1.10560251 -0.85227648 2
9181.93144000 12.42860370 0.85200000 0.87312078 -0.29635201 2
9182.01258800 13.59840370 1.21300000 1.22792707 -0.37325944 2
9182.81351100 4.94260370 1.25900000 1.27338796 -1.45300592 2
9182.89215700 4.94260370 0.93500000 0.95428554 0.61047349 2
9182.97942800 1.47410370 0.88200000 0.90241892 -0.40910749 2
9183.07998700 -0.10209630 1.08800000 1.10461754 -1.07879539 2
9183.76783100 7.95490370 1.10000000 1.11643894 -0.66570707 2
9183.83016000 10.78810370 1.62600000 1.63716581 0.72980513 2
9183.99423600 15.27070370 0.90100000 0.92099777 -0.64243034 2
9184.07505300 17.46800370 1.04700000 1.06425791 0.14597748 2
9185.03483500 2.89440370 0.64700000 0.67457016 -0.15504152 2
9515.03853500 -6.39861253 1.18000000 1.59572633 -0.14673984 3
9520.12791300 -1.28501253 1.37100000 1.74171856 -0.63301675 3
9525.86479500 17.32828747 1.76500000 2.06619639 0.37021145 3
9529.92015500 -7.78821253 1.38200000 1.75039039 -0.88862028 3
9537.98931800 -6.08851253 1.02500000 1.48477861 -0.45594985 3
9538.85193900 3.59948747 1.28200000 1.67256286 0.45076309 3
9539.81052300 -8.06531253 1.28800000 1.67716622 -1.49013006 3
9539.85581000 -6.09261253 1.07900000 1.52255822 -0.39167696 3
9539.99340700 -2.65751253 1.53900000 1.87682272 -0.37384625 3
9540.05145100 -1.48611253 1.40800000 1.77099027 0.15518893 3
9515.03853500 -5.64312144 0.76300000 1.77852540 0.60875125 4
9520.12791300 -0.52952144 0.79000000 1.79027473 0.12247434 4
9525.86479500 18.08377856 0.97300000 1.87822059 1.12570254 4
9529.92015500 -7.03272144 0.84000000 1.81289371 -0.13312919 4
9537.98931800 -5.33302144 0.64800000 1.73230702 0.29954124 4
9538.85193900 4.35497856 0.72600000 1.76296897 1.20625418 4
9539.81052300 -7.30982144 0.63700000 1.72822238 -0.73463897 4
9539.85581000 -5.33712144 0.61700000 1.72095107 0.36381413 4
9539.99340700 -1.90202144 0.91000000 1.84637038 0.38164484 4
9540.05145100 -0.73062144 0.78700000 1.78895293 0.91068002 4
9119.98960300 10.75246920 3.27190000 3.28429810 1.28459986 5
9120.00035400 10.75246920 3.66450000 3.67557405 1.80262820 5
9123.01541500 -1.57923080 3.10730000 3.12035217 -0.38059454 5
9123.02619000 -1.57923080 3.17350000 3.18628100 -0.66339656 5
9123.03701500 -1.57923080 3.15310000 3.16596336 -0.95072354 5
9153.02322600 19.87986920 3.89150000 3.90192986 1.52466559 5
9153.03398700 19.87986920 3.62250000 3.63370205 1.34488949 5
9156.94231400 -4.60043080 3.80400000 3.81466910 0.36759787 5
9156.95302500 -4.60043080 3.82120000 3.83182121 0.51110940 5
9157.02692200 -4.60043080 3.84400000 3.85455839 0.46298343 5
9157.03760300 -4.60043080 3.81180000 3.82244733 0.30799118 5
9188.86894200 16.56556920 3.73350000 3.74436999 0.51794817 5
9188.87962500 16.56556920 5.11920000 5.12713302 0.70758860 5
9188.95689200 14.37526920 3.06070000 3.07395004 0.28203587 5
9188.97109800 14.37526920 3.45600000 3.46773995 0.62137777 5
9188.98530600 14.37526920 3.05330000 3.06658202 0.94577484 5
9189.79770700 7.21326920 3.18190000 3.19464740 -0.59714085 5
9189.80840100 7.21326920 3.17760000 3.19036458 -0.53605289 5
